Varco,Data,Passaggi_24h
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/01/2015,10398
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/02/2015,10779
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/03/2015,7969
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/04/2015,5691
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/05/2015,9900
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/06/2015,10251
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/07/2015,10237
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/08/2015,10308
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/09/2015,10700
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/10/2015,7802
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/11/2015,5719
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/12/2015,9959
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/13/2015,10499
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/14/2015,10257
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/15/2015,10459
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/16/2015,10799
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/17/2015,7843
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/18/2015,5791
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/19/2015,10068
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/20/2015,10201
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/21/2015,10184
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/22/2015,10430
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/23/2015,10898
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/24/2015,7720
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/25/2015,5938
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/26/2015,9197
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/27/2015,10174
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/28/2015,10366
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/29/2015,10536
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/30/2015,10776
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/31/2015,7505
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/01/2015,5733
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/02/2015,9950
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/03/2015,9970
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/04/2015,10124
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/05/2015,10430
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/06/2015,10999
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/07/2015,7934
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/08/2015,5700
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/09/2015,9954
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/10/2015,10151
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/11/2015,10240
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/12/2015,10391
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/13/2015,10230
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/14/2015,7637
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/15/2015,5743
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/16/2015,9968
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/17/2015,10196
