Varco,Data,Passaggi_24h
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/04/2016,11033
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/04/2016,7956
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,03/04/2016,5767
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,04/04/2016,10386
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,05/04/2016,10588
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,06/04/2016,10733
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/04/2016,10836
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/04/2016,11285
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/04/2016,8186
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/04/2016,5967
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/04/2016,10365
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/04/2016,10726
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,13/04/2016,10698
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,14/04/2016,10926
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,15/04/2016,11265
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,16/04/2016,8000
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,17/04/2016,6150
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,18/04/2016,10359
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,19/04/2016,10504
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,20/04/2016,10601
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,21/04/2016,10799
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,22/04/2016,11012
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,23/04/2016,7523
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,24/04/2016,5296
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,25/04/2016,5302
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,26/04/2016,10404
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,27/04/2016,10872
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,28/04/2016,11167
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,29/04/2016,11184
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,30/04/2016,7837
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/05/2016,5145
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/05/2016,10421
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,03/05/2016,10663
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,04/05/2016,10783
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,05/05/2016,10934
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,06/05/2016,11022
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/05/2016,7895
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/05/2016,6221
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/05/2016,10580
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,10/05/2016,10535
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/05/2016,10673
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/05/2016,10736
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,13/05/2016,11212
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,14/05/2016,7975
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,15/05/2016,6064
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,16/05/2016,10432
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,17/05/2016,10495
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,18/05/2016,10668
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,19/05/2016,10874
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,20/05/2016,11092
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,21/05/2016,7652
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,22/05/2016,5944
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,23/05/2016,10443
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,24/05/2016,10714
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,25/05/2016,10852
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,26/05/2016,10844
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,27/05/2016,11207
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,28/05/2016,7848
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,29/05/2016,5809
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,30/05/2016,10555
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,31/05/2016,10653
