Regione,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Piemonte,2184865.2,2818137.4,2428355.7,2963767.6,2900019.2,3203400.9,2923131.0,2831031.7,3046192.2,2745501.2,2374446.1,2286586.5,2009243.6,2112479.4,1910793.5,1919954.1,2085201.2,1944648.3,2110696.1,2189214.5
Valle d'Aosta,66188.9,96965.7,131866.3,184283.2,180324.5,198745.5,168971.5,159655.1,161621.1,143628.5,118291.1,92445.4,92018.6,101272.2,105594.5,102547.3,97368.1,88982.5,76061.9,95921.3
Liguria,1740907.4,2043224.0,1889241.0,1935658.7,1985731.3,1914879.2,1786075.1,1681659.8,1638457.7,1585503.2,1359364.8,1218131.0,1357698.9,1316155.4,1105423.1,1181875.0,1147836.3,1193063.5,1174840.9,1577502.1
Lombardia,4461185.2,5084574.6,4715455.4,4955532.4,5245139.4,5755981.7,6069792.5,6528122.5,6174904.0,5797371.5,6073047.2,6009082.9,6329971.5,6145688.1,6006381.8,6128007.7,5964439.0,5866326.5,5614861.7,6099575.3
Veneto,1937144.8,2391998.4,2591174.4,2863787.8,3111739.3,3071778.7,2975343.4,2949823.1,2899414.9,2714581.7,2570534.5,2303082.8,2235946.0,2165522.5,1945170.3,1899367.1,1910838.5,1954812.1,2029169.9,2053476.8
Emilia Romagna,2365137.1,2309064.5,2378673.1,2494064.4,2659653.7,2640327.0,2420403.5,2229428.5,2222725.9,2223495.0,2052494.4,1953676.7,2001824.8,1841720.5,1651184.3,1740840.4,1761642.4,1835146.9,1822867.5,2009596.4
Toscana,2464919.4,2458568.6,2555353.7,3039549.6,3171311.3,3278845.4,2953883.7,2741309.5,2871366.4,2570967.0,2339024.5,1834589.5,2086885.4,2012580.5,1749317.7,1976528.0,1797316.3,1899107.5,1785542.6,1885663.5
Lazio,4992230.2,9999766.1,5603825.9,5813206.9,6013375.1,6304475.2,7019431.1,8678087.5,5522299.3,6056536.5,5733300.7,5381626.1,4724525.4,4793536.8,4038144.7,4169668.0,3765016.2,3722589.5,3788567.4,4172584.6
Campania,3614325.0,3734461.6,3112324.3,3606263.0,4031198.0,3668283.3,3727558.8,3944532.5,3600619.0,3512328.2,2968305.8,2573522.0,2526542.2,2469547.1,2303293.0,2032784.9,2128515.3,1967423.9,2095817.2,2134624.3
Sicilia,1765142.2,2132522.3,1668032.4,1667580.5,1703036.1,1850077.1,1953773.3,1999536.1,1752828.2,1820118.4,1515702.9,1368457.5,1292527.1,1466723.6,1295753.7,1281599.4,1446730.7,1383560.9,1405710.1,1692610.6
Nord-Occidentale,8388372.7,9972630.1,9105244.0,9983706.5,10263299.6,11034252.4,10922851.0,11184320.6,11007632.7,10261280.7,9916167.7,9600137.3,9780289.9,9672666.7,9126038.0,9332384.1,9295613.8,9095317.0,8978376.0,9967919.6
Nord-Orientale,5809271.8,6437479.8,6429382.8,6944823.8,7663896.5,7462727.5,7035480.4,6764386.0,6850521.5,6508686.5,6153952.1,5651520.5,5565119.3,5360907.5,4874931.2,4857513.7,4874561.0,4839470.0,4958433.3,5244050.0
Centrale,8522143.3,13741689.4,9262606.7,10125731.5,10551195.9,11040228.9,11384677.5,12767829.2,9699229.8,9849653.0,9109707.7,8128313.9,7735777.8,7770403.8,6705000.2,6932705.0,6269359.6,6348101.4,6388981.9,6905261.2
Meridionale,6939025.9,7297913.1,6169854.2,6889124.3,6827087.5,6834324.7,7114848.2,7232668.9,6842457.9,6652907.7,5908183.1,5271424.1,5134566.5,5049798.3,4637927.8,4543927.0,5008549.3,4501215.6,4842537.9,5033763.6
Insulare,2491598.4,3013557.5,2412649.0,2438175.5,2495915.2,2614548.4,2692405.6,2765089.7,2531474.6,2560750.2,2215165.4,2029490.5,1954961.9,2054417.6,1944567.0,1918006.1,2216557.6,2211179.8,2159760.0,2503805.0
Italia,32122985.0,40464816.7,33377099.6,36386874.5,37809254.0,39005697.1,39175536.5,40734609.5,36945296.1,35848582.6,33328160.8,30695249.8,30178308.1,29914921.7,27290554.5,27584535.8,27659993.9,26996924.4,27332346.9,29658188.8
