"dataInizio","dataFine","sindacato","settore","categoria","modalita","rilevanza","dataProclamazione","dataRicezione","nome_regione","nome_provincia","note"
"2014-01-08","2014-01-08","ANPCAT","Aereo","PERSONALE SOC. ENAV","4 ORE: DALLE 13.00 ALLE 17.00","Nazionale","2013-12-24","2013-12-24 17:07:00"," Italia","Tutte","ESCLUSI VOLI DELLA SOC. EASYJET"
"2014-01-09","2014-01-09","OSR USB LAVORO PRIVATO","Aereo","PERSONALE SOCC. SEA  E SEA HANDLING DI MILANO LINATE E MALPENSA","4 ORE: DALLE 10.00 ALLE 14.00","Nazionale","2013-12-30","2013-12-30 09:58:00"," Italia","Tutte",""
"2014-01-09","2014-01-09","OSR FEDERMAR-CISAL","Marittimo","PERSONALE SOC. SIREMAR - COMPAGNIA DELLE ISOLE REG. SICILIA","24 ORE CON VARIE MODALITA'","Regionale","2013-12-29","2013-12-29 23:37:00","Sicilia","Tutte",""
"2014-01-10","2014-01-10","OSR USB LAVORO PRIVATO","Ferroviario","PERS. MOBILE SOC. TRENITALIA DIV. PASSEGGERI N/I, CARGO, DIV. REGIONALE EMILIA ROM. E OMC ETR DI BOLOGNA","1 ORA: DALLE 09.00 ALLE 10.00 - OMC 10 MIN.:9.00-9.10","Regionale","2013-12-31","2013-12-31 10:58:00","Emilia-Romagna","Tutte",""
"2014-01-10","2014-01-10","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAST FERROVIE/ORSA FERROVIE","Appalti ferroviari","PERSONALE APPALTI FS SOC. IPRAMS DEGLI IMPIANTI DELLA REG. UMBRIA","4 ORE: DALLE 9.36 ALLE 13.36","Regionale","2013-12-16","2013-12-17 12:11:00","Umbria","Tutte",""
"2014-01-10","2014-01-10","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAST/ORSA","Appalti ferroviari","PERSONALE APPALTI SOC. CFPBO PER I LOTTI 30 E 42 TRENITALIA REG. UMBRIA","24 ORE","Regionale","2013-12-04","2013-12-04 18:51:00","Umbria","Tutte",""
"2014-01-13","2014-01-13","OSR FILT-CGIL/FIT-CISL/UILT-UIL/FAST/UGL/ORSA","Ferroviario","PERSONALE INTERO GRUPPO FSI REGIONE TOSCANA","2 ORE: DALLE 16.00 ALLE 17.59","Regionale","2014-01-13","2014-01-13 13:36:00","Toscana","Tutte",""
"2014-01-14","2014-01-14","USB LAVORO PRIVATO","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE REG. MARCHE","8 ORE: DALLE 9.00 ALLE 17.00","Regionale","2013-12-30","2013-12-30 16:07:00","Marche","Tutte",""
"2014-01-14","2014-01-14","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAISA-CISAL","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE REG. MARCHE","8 ORE: DALLE 9.00 ALLE 17.00","Regionale","2013-12-19","2013-12-19 13:24:00","Marche","Tutte",""
"2014-01-16","2014-01-16","OSR FEDERMAR-CISAL","Marittimo","PERSONALE SOC. SIREMAR - COMPAGNIA DELLE ISOLE REG. SICILIA","24 ORE CON VARIE MODALITA'","Regionale","2014-01-03","2014-01-03 22:21:00","Sicilia","Tutte",""
"2014-01-16","2014-01-16","OSR FILT-CGIL","Appalti ferroviari","PERS. APPALTI FERROVIARI SOC. COOPSERVICE DEL LOTTO CENTOSTAZIONI REG. EMILIA ROMAGNA","8 ORE INTERO TURNO","Regionale","2014-01-07","2014-01-07 10:10:00","Emilia-Romagna","Tutte",""
"2014-01-17","2014-01-17","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAST FERROVIE","Ferroviario","PERSONALE SOC. RFI SETT. MANUTENZIONE INFRASTRUTTURA DTP MILANO","8 ORE: DALLE 9.01 ALLE 17.00","Interregionale","2013-12-03","2013-12-04 18:38:00"," Italia","Tutte",""
"2014-01-17","2014-01-17","OSR FEDERMAR-CISAL","Marittimo","PERSONALE SOC. SIREMAR - COMPAGNIA DELLE ISOLE REG. SICILIA","24 ORE CON VARIE MODALITA'","Regionale","2014-01-03","2014-01-03 22:21:00","Sicilia","Tutte",""
"2014-01-18","2014-01-18","AVIA","Aereo","PERSONALE NAVIGANTE DI CABINA SOC. EASYJET","4 ORE: DALLE 12.00 ALLE 16.00","Nazionale","2013-12-06","2013-12-09 11:06:00"," Italia","Tutte",""
"2014-01-18","2014-01-18","OSR CUB TRASPORTI","Aereo","PERSONALE SOCC. SEA  E SEA HANDLING DI MILANO LINATE E MALPENSA","4 ORE: DALLE 12.00 ALLE 16.00","Nazionale","2013-12-30","2013-12-30 09:53:00"," Italia","Tutte",""
"2014-01-18","2014-01-19","OSR ORSA FERROVIE","Ferroviario","PERSONALE MOBILE SOC. TRENITALIA DIV. PASSEGGERI REGIONALE VENETO","24 ORE: DALLE 21.00 DEL 18/1 ALLE 20.59 DEL 19/1","Regionale","2013-12-09","2013-12-09 12:08:00","Veneto","Tutte",""
"2014-01-18","2014-01-18","OSP ADL","Aereo","PERSONALE SOCC. SEA  E SEA HANDLING DI MILANO LINATE E MALPENSA","4 ORE: DALLE 12.00 ALLE 16.00","Nazionale","2014-01-07","2014-01-07 17:41:00"," Italia","Tutte",""
"2014-01-18","2014-01-18","OSR USB LAVORO PRIVATO","Aereo","PERSONALE SOCC. SEA  E SEA HANDLING DI MILANO LINATE E MALPENSA","4 ORE: DALLE 12.00 ALLE 16.00","Nazionale","2014-01-02","2014-01-02 10:28:00"," Italia","Tutte",""
"2014-01-20","2014-01-20","OSR FILT-CGIL/FIT-CISL/UGL/FAISA-CISAL","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE REG. TOSCANA","8 ORE CON MODALITA' TERRITORIALI","Regionale","2013-12-23","2013-12-23 12:17:00","Toscana","Tutte",""
"2014-01-21","2014-01-21","OSR FILT-CGIL","Appalti ferroviari","PERS. APPALTI FERROVIARI SOC. COOPSERVICE DEL LOTTO CENTOSTAZIONI REG. EMILIA ROMAGNA","MEZZO TURNO PER OGNI TURNO","Regionale","2014-01-07","2014-01-07 15:14:00","Emilia-Romagna","Tutte",""
"2014-01-24","2014-01-24","USB LAVORO PRIVATO","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE","24 ORE CON MODALITA' TERRITORIALI","Nazionale","2013-12-20","2013-12-20 12:38:00"," Italia","Tutte",""
"2014-01-24","2014-01-24","OSR USB LAVORO PRIVATO","Ferroviario","PERSONALE SOC. TRENITALIA STABIL. OMC ETR BOLOGNA","INTERA GIORNATA","Regionale","2014-01-13","2014-01-13 10:15:00","Emilia-Romagna","Tutte",""
"2014-01-24","2014-01-24","OSR FAST-CONFSAL","Appalti ferroviari","PERSONALE APPALTI FERROVIARI SO.CO.FAT (COOP. FATTORINI) DI TORINO","INTERA PRESTAZIONE LAVORATIVA","Regionale","2013-12-18","2013-12-18 10:07:00","Piemonte","Tutte",""
"2014-01-24","2014-01-24","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAST/ORSA","Ferroviario","PERSONALE SOC. TRENITALIA DTR CAMPANIA","8 ORE: DALLE 9.01 ALLE 17.00","Regionale","2013-12-17","2013-12-17 13:06:00","Campania","Tutte",""
"2014-01-25","2014-01-26","OSR USB LAVORO PRIVATO","Ferroviario","PERS. MOBILE SOC. TRENITALIA DIV. PASSEGGERI N/I, CARGO, DIV. REGIONALE EMILIA ROM.","8 ORE: DALLE 21.00 DEL 25/1 ALLE 4.59 DEL 26/1","Regionale","2014-01-13","2014-01-13 10:15:00","Emilia-Romagna","Tutte",""
"2014-01-29","2014-01-29","CILA-AV","Aereo","PERSONALE SOC. ENAV","4 ORE: DALLE 13.00 ALLE 17.00","Nazionale","2014-01-15","2014-01-15 10:42:00"," Italia","Tutte","ESCLUSIONE AREA CAAV DI PALERMO E VOLI DEL GRUPPO MERIDIANA"
"2014-01-29","2014-01-29","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAST/ORSA","Ferroviario","PERSONALE SOC. TRENITALIA DIV. PASSEGGERI N/I VENDITA DIRETTA E CUSTOMER SERVICE FRIULI VENEZIA GIULIA","8 ORE: DALLE 9.01 ALLE 17.00","Regionale","2014-01-10","2014-01-10 19:24:00","Friuli-Venezia Giulia","Tutte",""
