Campagna,Codice stazione,Codice aziendale,Reg,Prov,Stazione,Cod Istat,Comune,Linea fisica,Saliti24H,Saliti7-9,Discesi7-9,Corse24H,Corse7-9,Saliti_S,Saliti_R,Saliti_RE,Corse_S,Corse_R,Corse_RE,Tipo giorno,Anno,Calendario,Location,POINT_X,POINT_Y
c_maggio2024,-,-,EM,-,-,-,-,-,1360,230,350,134,16,0,1360,0,0,134,0,Feriale,2024,invernale (mag),0,0,0
c_maggio2024,-,-,PI,-,-,-,-,-,4330,780,530,301,37,0,1440,2900,0,217,84,Feriale,2024,invernale (mag),0,0,0
c_maggio2024,-,-,VE,-,-,-,-,-,6640,660,440,33,3,0,0,6640,0,0,33,Feriale,2024,invernale (mag),0,0,0
c_maggio2024,-,-,ZZ,-,-,-,-,-,1320,110,80,44,6,1320,0,0,44,0,0,Feriale,2024,invernale (mag),0,0,0
c_maggio2024,146,S01416,LO,LC,ABBADIA LARIANA,97001,Abbadia Lariana,TIRANO-MILANO Lc-So,190,80,20,27,4,0,170,30,0,26,1,Feriale,2024,invernale (mag),POINT (9.335204987 45.895939932),9.335204987,45.895939932
c_maggio2024,89,S01062,LO,MI,ABBIATEGRASSO,15002,Abbiategrasso,MILANO-MORTARA-AL,2650,930,200,48,8,0,2650,0,0,48,0,Feriale,2024,invernale (mag),POINT (8.921337035 45.400715222),8.921337035,45.400715222
c_maggio2024,303,S01913,LO,CR,ACQUANEGRA CREMONESE,19001,Acquanegra Cremonese,CODOGNO-MANTOVA,30,20,20,11,3,0,30,0,0,11,0,Feriale,2024,invernale (mag),POINT (9.888484165 45.172179192),9.888484165,45.172179192
c_maggio2024,199,S01515,LO,LC,AIRUNO,97002,Airuno,TIRANO-MILANO Mz-Lc,1220,390,100,73,8,1220,0,0,73,0,0,Feriale,2024,invernale (mag),POINT (9.422096968 45.754167715),9.422096968,45.754167715
c_maggio2024,5844,S01059,LO,MI,ALBAIRATE-VERMEZZO,15005,Albairate,MILANO-MORTARA-AL,2380,660,240,113,13,1220,1170,0,67,46,0,Feriale,2024,invernale (mag),POINT (8.957371048 45.404429355),8.957371048,45.404429355
c_maggio2024,210,S01534,LO,BG,ALBANO S.ALESSANDRO,16003,Albano Sant'Alessandro,LECCO-BRESCIA,160,30,20,36,5,0,160,0,0,36,0,Feriale,2024,invernale (mag),POINT (9.768053847 45.682821561),9.768053847,45.682821561
c_maggio2024,165,S01450,LO,CO,ALBATE TRECALLO,13075,Como,ALBATE-MOLTENO,40,10,20,22,4,0,40,0,0,22,0,Feriale,2024,invernale (mag),POINT (9.095790373 45.777467374),9.095790373,45.777467374
c_maggio2024,120,S01310,LO,CO,ALBATE-CAMERLATA,13075,Como,CHIASSO-MILANO,0,0,0,1,0,0,0,0,1,0,0,Feriale,2024,invernale (mag),POINT (9.07349887 45.777443385),0.907349887,45.777443385
c_maggio2024,116,S01209,LO,VA,ALBIZZATE-SOLBIATE ARNO,12002,Albizzate,PORTO C.-GALLARATE,760,290,70,72,8,720,0,50,71,0,1,Feriale,2024,invernale (mag),POINT (8.806241922 45.724198779),8.806241922,45.724198779
c_maggio2024,285,S01863,LO,PV,ALBUZZANO,18004,Albuzzano,PAVIA-CASALPUST.,80,20,20,24,4,0,80,0,0,24,0,Feriale,2024,invernale (mag),POINT (9.261661322 45.17259006),9.261661322,4.517259006
c_maggio2024,206,S01527,LO,BG,AMBIVERE-MAPELLO,16009,Ambivere,LECCO-BRESCIA,180,50,30,31,4,0,180,0,0,31,0,Feriale,2024,invernale (mag),POINT (9.550472449 45.722244877),9.550472449,45.722244877
c_maggio2024,168,S01453,LO,CO,ANZANO DEL PARCO,13009,Anzano del Parco,ALBATE-MOLTENO,40,30,10,22,4,0,40,0,0,22,0,Feriale,2024,invernale (mag),POINT (9.202711127 45.765037334),9.202711127,45.765037334
c_maggio2024,5836,S01608,LO,BG,ARCENE,16011,Arcene,BERGAMO-CREMONA,390,200,30,36,4,0,390,10,0,35,1,Feriale,2024,invernale (mag),POINT (9.606556547 45.577555908),9.606556547,45.577555908
c_maggio2024,111,S01203,LO,VA,ARCISATE,12004,Arcisate,PORTO C.-GALLARATE,1020,300,110,78,10,540,0,490,44,0,34,Feriale,2024,invernale (mag),POINT (8.862448264 45.85865032),8.862448264,4.585865032
c_maggio2024,194,S01510,LO,MI,ARCORE,108004,Arcore,TIRANO-MILANO Mz-Lc,5000,1770,560,116,14,3220,1790,0,73,43,0,Feriale,2024,invernale (mag),POINT (9.322824319 45.623570636),9.322824319,45.623570636
c_maggio2024,153,S01427,LO,SO,ARDENNO-MASINO,14005,Ardenno,TIRANO-MILANO Lc-So,90,40,20,22,4,0,90,0,0,22,0,Feriale,2024,invernale (mag),POINT (9.651405996 46.162053348),9.651405996,46.162053348
c_maggio2024,324,S01947,LO,PV,ARENA PO,18005,Arena Po,ALESS.-PIACENZA,30,10,10,14,1,0,30,0,0,14,0,Feriale,2024,invernale (mag),POINT (9.360421355 45.082147008),9.360421355,45.082147008
c_maggio2024,71,S01020,PI,NO,ARONA,3008,Arona,DOMODOSSOLA-MILANO,1320,330,130,52,7,0,540,790,0,30,22,Feriale,2024,invernale (mag),POINT (8.559107617 45.75531295),8.559107617,4.575531295
c_maggio2024,2709,S01092,LO,CO,Arosio,13012,Arosio,Seveso - Asso,530,300,40,52,8,0,530,0,0,52,0,Feriale,2024,invernale (mag),POINT (9.210246869 45.71835634),9.210246869,4.571835634
c_maggio2024,275,S01847,LO,MN,ASOLA,20002,Asola,BRESCIA-PARMA,290,70,50,32,4,0,290,0,0,32,0,Feriale,2024,invernale (mag),POINT (10.402333601 45.220534843),10.402333601,45.220534843
c_maggio2024,2711,S01101,LO,CO,Asso,13013,Asso,Seveso - Asso,320,100,0,36,2,0,320,0,0,36,0,Feriale,2024,invernale (mag),POINT (9.269120449 45.854922626),9.269120449,45.854922626
c_maggio2024,295,S01901,LO,BS,BAGNOLO MELLA,17009,Bagnolo Mella,BRESCIA-CREMONA,320,70,40,31,3,0,320,0,0,31,0,Feriale,2024,invernale (mag),POINT (10.183641825 45.428611146),10.183641825,45.428611146
c_maggio2024,2712,S01741,LO,VA,Barasso-Comerio,12008,Barasso,Varese Nord - Laveno Momb,300,130,30,40,6,0,120,180,0,22,18,Feriale,2024,invernale (mag),POINT (8.751273836 45.835130751),8.751273836,45.835130751
c_maggio2024,317,S01932,LO,PV,BARBIANELLO,18008,Barbianello,PAVIA-STRADELLA,40,10,10,26,3,0,40,0,0,26,0,Feriale,2024,invernale (mag),POINT (9.20419733 45.072712294),0.920419733,45.072712294
c_maggio2024,286,S01864,LO,PV,BELGIOIOSO,18013,Belgioioso,PAVIA-CASALPUST.,350,140,30,24,4,0,350,0,0,24,0,Feriale,2024,invernale (mag),POINT (9.316907213 45.164645746),9.316907213,45.164645746
c_maggio2024,140,S01409,LO,LC,BELLANO-TARTAVALLE TERME,97008,Bellano,TIRANO-MILANO Lc-So,700,120,50,53,5,0,270,430,0,26,27,Feriale,2024,invernale (mag),POINT (9.302811247 46.03952264),9.302811247,4.603952264
c_maggio2024,208,S01529,LO,BG,BERGAMO,16024,Bergamo,LECCO-BRESCIA,10170,2250,2390,130,20,0,3830,6340,0,75,55,Feriale,2024,invernale (mag),POINT (9.675111057 45.690343725),9.675111057,45.690343725
c_maggio2024,185,S01488,LO,MI,BESANA,108008,Besana in Brianza,MONZA-LECCO,560,190,70,40,6,560,0,0,40,0,0,Feriale,2024,invernale (mag),POINT (9.28291338 45.702901578),0.928291338,45.702901578
c_maggio2024,108,S01145,LO,VA,BESNATE,12012,Besnate,LUINO-GALLARATE,110,40,20,23,3,40,70,0,11,12,0,Feriale,2024,invernale (mag),POINT (8.761109294 45.695486482),8.761109294,45.695486482
c_maggio2024,104,S01141,LO,VA,BESOZZO,12013,Besozzo,LUINO-GALLARATE,240,70,30,24,2,70,170,0,11,13,0,Feriale,2024,invernale (mag),POINT (8.66303949 45.842264864),0.866303949,45.842264864
c_maggio2024,162,S01438,LO,SO,BIANZONE,14008,Bianzone,TIRANO-MILANO So-Tir,30,30,10,5,1,0,10,30,0,4,1,Feriale,2024,invernale (mag),POINT (10.11252885 46.179456527),1.011252885,46.179456527
c_maggio2024,180,S01483,LO,MI,BIASSONO-LESMO,108009,Biassono,MONZA-LECCO,300,160,20,40,6,300,0,0,40,0,0,Feriale,2024,invernale (mag),POINT (9.298437032 45.632291281),9.298437032,45.632291281
c_maggio2024,110,S01202,LO,VA,BISUSCHIO-VIGGIU',12015,Bisuschio,PORTO C.-GALLARATE,330,80,60,34,4,0,0,330,0,0,34,Feriale,2024,invernale (mag),POINT (8.887580152 45.870733966),8.887580152,45.870733966
c_maggio2024,2715,S01778,LO,BS,Boario Terme,17065,Darfo Boario Terme,Pisogne - Breno,280,40,30,31,3,0,140,140,0,19,12,Feriale,2024,invernale (mag),POINT (10.190958686 45.892043214),10.190958686,45.892043214
c_maggio2024,2716,S01071,LO,MI,Bollate Centro,15027,Bollate,Milano Nord Cadorna - Sar,2830,1070,510,133,16,2830,0,0,133,0,0,Feriale,2024,invernale (mag),POINT (9.123062868 45.542718874),9.123062868,45.542718874
c_maggio2024,2717,S01072,LO,MI,Bollate Nord,15027,Bollate,Milano Nord Cadorna - Sar,1050,490,120,133,16,1050,0,0,133,0,0,Feriale,2024,invernale (mag),POINT (9.112398385 45.552681567),9.112398385,45.552681567
c_maggio2024,2718,S01797,LO,BS,Borgo S. Giovanni,17029,Brescia,Brescia - Iseo,200,30,40,35,6,0,200,0,0,35,0,Feriale,2024,invernale (mag),POINT (10.190716021 45.543253206),10.190716021,45.543253206
c_maggio2024,267,S01830,LO,MI,BORGOLOMBARDO,15192,San Donato Milanese,MILANO-BOLOGNA,790,270,140,78,9,790,0,0,78,0,0,Feriale,2024,invernale (mag),POINT (9.271012475 45.40385926),9.271012475,4.540385926
c_maggio2024,2719,S01788,LO,BS,Borgonato Adro,17062,Corte Franca,Brescia - Iseo,250,20,10,35,4,0,250,0,0,35,0,Feriale,2024,invernale (mag),POINT (10.020113024 45.622225521),10.020113024,45.622225521
c_maggio2024,2720,S01789,LO,BS,Bornato Calino,17046,Cazzago San Martino,Brescia - Iseo,410,120,20,38,6,0,400,20,0,35,3,Feriale,2024,invernale (mag),POINT (10.033113278 45.590424717),10.033113278,45.590424717
c_maggio2024,2721,S01085,LO,MI,Bovisio Masciago - Mombello,108010,Bovisio-Masciago,Milano Nord Bovisa - Seve,2140,930,330,133,16,2140,0,0,133,0,0,Feriale,2024,invernale (mag),POINT (9.141581449 45.612055387),9.141581449,45.612055387
c_maggio2024,310,S01920,LO,MN,BOZZOLO,20007,Bozzolo,CODOGNO-MANTOVA,470,90,50,28,3,0,30,450,0,7,21,Feriale,2024,invernale (mag),POINT (10.472685666 45.107331585),10.472685666,45.107331585
c_maggio2024,167,S01452,LO,CO,BRENNA-ALZATE,13029,Brenna,ALBATE-MOLTENO,40,20,10,22,4,0,40,0,0,22,0,Feriale,2024,invernale (mag),POINT (9.183346262 45.75412075),9.183346262,4.575412075
c_maggio2024,2722,S01005,LO,BS,Breno,17028,Breno,Pisogne - Breno,490,50,150,31,3,0,300,190,0,19,12,Feriale,2024,invernale (mag),POINT (10.305483792 45.959261369),10.305483792,45.959261369
