,Stazione,train_arrival_stop_name
0,-,
1,ABBADIA LARIANA,
2,ABBIATEGRASSO,
3,ACQUANEGRA CREMONESE,
4,AIRUNO,
5,ALBAIRATE-VERMEZZO,
6,ALBANO S.ALESSANDRO,
7,ALBATE TRECALLO,
8,ALBATE-CAMERLATA,
9,ALBIZZATE-SOLBIATE ARNO,
10,ALBUZZANO,
11,AMBIVERE-MAPELLO,
12,ANZANO DEL PARCO,
13,ARCENE,
14,ARCISATE,
15,ARCORE,
16,ARDENNO-MASINO,
17,ARENA PO,
18,ARONA,ARONA
19,Arosio,
20,ASOLA,
21,Asso,
22,BAGNOLO MELLA,
23,Barasso-Comerio,
24,BARBIANELLO,
25,BELGIOIOSO,
26,BELLANO-TARTAVALLE TERME,
27,BERGAMO,BERGAMO
28,BESANA,BESANA
29,BESNATE,
30,BESOZZO,
31,BIANZONE,
32,BIASSONO-LESMO,
33,BISUSCHIO-VIGGIU',
34,Boario Terme,
35,Bollate Centro,
36,Bollate Nord,
37,Borgo S. Giovanni,
38,BORGOLOMBARDO,
39,Borgonato Adro,
40,Bornato Calino,
41,Bovisio Masciago - Mombello,
42,BOZZOLO,
43,BRENNA-ALZATE,
44,Breno,
45,BRESCIA,BRESCIA
46,Brescia Violino,
47,BRESSANA ARGINE,
48,BRESSANA BOTTARONE,
49,BRONI,
50,BUSTO ARSIZIO,BUSTO ARSIZIO
51,Busto Arsizio Nord,
52,BUTTAFAVA,
53,Cabiate,
54,Cadorago,
55,CALCIO,
56,CALDE',
57,CALOLZIOCORTE-OLGINATE,
58,CALUSCO,
59,CALVISANO,
60,CAMNAGO-LENTATE,
61,CANEGRATE,
62,CANNETO SULL'OGLIO,
63,Cantello Gaggiolo,
64,CANTU',
65,CANTU'-CERMENATE,
66,Canzo,
67,Capo di Ponte,
68,CAPRALBA,
69,CARATE-CALO',
70,CARAVAGGIO,
71,CARIMATE,
72,CARNATE USMATE,CARNATE USMATE
73,Caronno Pertusella,
74,Carugo-Giussano,
75,CASALBUTTANO,
