anno,gdpCapita,variazionePercentuale
2022,93260,-0.20
2021,93446,8.79
2020,85898,2.11
2019,84122,-1.29
2018,85217,3.60
2017,82254,0.12
2016,82153,-1.97
2015,83806,-5.54
2014,88725,1.63
2013,87304,1.71
2012,85836,-5.13
2011,90477,18.22
2010,76531,6.93
2009,71568,-3.51
2008,74175,14.13
2007,64989,10.13
2006,59011,4.92
2005,56243,2.90
2004,54659,10.79
2003,49336,16.20
2002,42459,7.11
2001,39639,1.99
2000,38865,-6.79
1999,41696,-2.31
1998,42681,2.64
1997,41584,-13.53
1996,48093,-4.03
1995,50114,16.30
