Year,GDP(milioni),Inflation adj,GDP change,GDP per capita,change Population,Population
2020,739914,729362,-2.38,84411,0.74,	8640582
2019,721369,747110,1.14,87101,0.72,	8577524
2018,725563,738674,2.86,86736,0.74,	8516344
2017,695201,718132,1.36,84950,0.94,	8453628
2016,687895,708477,2.07,84595,1.10,	8374901
2015,694118,694118,1.64,83791,1.14,	8283934
2014,726538,682887,2.35,83378,1.22,	8190235
2013,706235,667209,1.79,82461,1.15,	8091202
2012,686420,655462,1.18,81944,1.07,	7998926
2011,715888,647822,1.81,81854,1.13,	7914372
