Country,Percent
Singapore,52
Switzerland,51
Kenya,48
Czechia,46
South Korea,45
Finland,44
India,44
Russia,44
Brazil,44
Sweden,44
Hong Kong,42
Spain,42
Austria,41
United Arab Emirates,41
Portugal,38
Poland,38
China,37
Australia,37
South Africa,35
Colombia,35
United Kingdom, 34
Chile,34
Germany,33
Turkey,33
Netherlands,33
Taiwan,33
Norway,30
Hungary,30
Lithuania,30
Japan,30
Philippines,30
Mexico,30
Argentina,30
Indonesia,30
Romania,29
Vietnam,29
Egypt,29
Denmark,29
Nigereia,29
Serbia,27
Canada,27
Israel,27
Italy,26
Saudi Arabia,26
Pakistan,26
Ireland,25
Malaysia,24
France,24
United States,23
Peru,23
New Zealand,23
Domenican REpublic,23
Morocco,21
Belgium,21
Greece,20
Thailand,20
